Latency = 0.194336, 255, 67
Latency = 0.166870, 255, 99
Latency = 0.189789, 255, 56
Latency = 0.208313, 243, 54
Latency = 0.156891, 255, 66
Latency = 0.183319, 255, 61
Latency = 0.227234, 255, 57
Latency = 0.178070, 255, 35
Latency = 0.243195, 255, 61
Latency = 0.230072, 255, 67
Latency = 0.250916, 255, 56
Latency = 0.264099, 255, 56
Latency = 0.217743, 255, 57
Latency = 0.185486, 255, 59
Latency = 0.188598, 255, 58
Latency = 0.229217, 255, 70
Latency = 0.279297, 255, 54
Latency = 0.243652, 255, 67
Latency = 0.162201, 255, 58
Latency = 0.231110, 255, 56
Latency = 0.247253, 255, 62
Latency = 0.182281, 255, 57
Latency = 0.199524, 255, 58
Latency = 0.197602, 255, 63
Latency = 0.176513, 255, 45
Latency = 0.221405, 255, 52
Latency = 0.249298, 255, 49
Latency = 0.235016, 255, 51
Latency = 0.249817, 255, 58
Latency = 0.196075, 255, 49
Latency = 0.204926, 255, 51
Latency = 0.196990, 255, 51
Latency = 0.209259, 255, 52
Latency = 0.254425, 255, 53
Latency = 0.269897, 255, 50
Latency = 0.255035, 255, 48
Latency = 0.183990, 255, 49
Latency = 0.195923, 255, 57
Latency = 0.263428, 255, 50
Latency = 0.182068, 255, 50
Latency = 0.223419, 255, 53
Latency = 0.170350, 245, 53
Latency = 0.193665, 250, 153
Latency = 0.177551, 249, 184
Latency = 0.179962, 251, 228
Latency = 0.212554, 228, 56
Latency = 0.217285, 248, 52
Latency = 0.234222, 245, 50
Latency = 0.219055, 240, 54
Latency = 0.235626, 242, 52
Latency = 0.221832, 247, 54
Latency = 0.243134, 249, 132
Latency = 0.161255, 248, 128
Latency = 0.146729, 247, 142
Latency = 0.205353, 247, 161
Latency = 0.221955, 248, 187
Latency = 0.205689, 248, 192
Latency = 0.232513, 240, 53
Latency = 0.216858, 238, 53

time (ms) latency: 1.097918
